lactkey,Farm,Breed,CalveDate,Parity,monthinm,dim,milk
2238462,A, J, 2006-03-28, 1,8,,
2238462,A, J, 2006-03-28, 1,9,,
2238462,A, J, 2006-03-28, 1,10,,
2238462,A, J, 2006-03-28, 1,3, 106, 25.4
2238462,A, J, 2006-03-28, 1,4, 140, 21.3
2238462,A, J, 2006-03-28, 1,5, 177, 20.9
2238462,A, J, 2006-03-28, 1,6, 253, 11.3
2238462,A, J, 2006-03-28, 1,7, 304, 17.7 
2238462,A, J, 2006-03-28, 1,1, 37, 21.8
2238462,A, J, 2006-03-28, 1,2, 73, 26.3
2238637,A, J, 2005-08-29, 1,10,,
2238637,A, J, 2005-08-29, 1,4, 111, 19.1
2238637,A, J, 2005-08-29, 1,5, 142, 17.7
2238637,A, J, 2005-08-29, 1,1, 16, 18.6
2238637,A, J, 2005-08-29, 1,6, 178, 15.9
2238637,A, J, 2005-08-29, 1,7, 205, 16.3
2238637,A, J, 2005-08-29, 1,8, 240, 12.7
2238637,A, J, 2005-08-29, 1,9, 277, 11.8 
2238637,A, J, 2005-08-29, 1,2, 46, 19.1
2238637,A, J, 2005-08-29, 1,3, 79, 18.6
2238645,A, J, 2005-09-04, 1,10,,
2238645,A, J, 2005-09-04, 1,1, 10, 26.3
2238645,A, J, 2005-09-04, 1,4, 105, 25.4
2238645,A, J, 2005-09-04, 1,5, 136, 18.6
2238645,A, J, 2005-09-04, 1,6, 172, 20.9
2238645,A, J, 2005-09-04, 1,7, 199, 23.2
2238645,A, J, 2005-09-04, 1,8, 234, 21.8
2238645,A, J, 2005-09-04, 1,9, 271, 21.3 
2238645,A, J, 2005-09-04, 1,2, 40, 25.9
2238645,A, J, 2005-09-04, 1,3, 73, 24.1
2238647,A, J, 2005-11-13, 1,9,,
2238647,A, J, 2005-11-13, 1,10,,
2238647,A, J, 2005-11-13, 1,3, 102, 21.8
2238647,A, J, 2005-11-13, 1,4, 129, 23.2
2238647,A, J, 2005-11-13, 1,5, 164, 18.6
2238647,A, J, 2005-11-13, 1,6, 201, 19.5
2238647,A, J, 2005-11-13, 1,7, 236, 15.9
2238647,A, J, 2005-11-13, 1,8, 278, 16.8 
2238647,A, J, 2005-11-13, 1,1, 35, 27.2
2238647,A, J, 2005-11-13, 1,2, 66, 25.9
2238650,A, J, 2006-02-16, 1,10,,
2238650,A, J, 2006-02-16, 1,4, 106, 25.4
2238650,A, J, 2006-02-16, 1,5, 141, 21.8
2238650,A, J, 2006-02-16, 1,6, 183, 23.6
2238650,A, J, 2006-02-16, 1,7, 216, 23.6
2238650,A, J, 2006-02-16, 1,8, 253, 20.4
2238650,A, J, 2006-02-16, 1,9, 287, 20.9 
2238650,A, J, 2006-02-16, 1,2, 34, 26.3
2238650,A, J, 2006-02-16, 1,3, 69, 25.9
2238650,A, J, 2006-02-16, 1,1, 7, 20
2238655,A, J, 2005-10-31, 1,10,,
2238655,A, J, 2005-10-31, 1,4, 115, 20.9
2238655,A, J, 2005-10-31, 1,5, 142, 20.4
2238655,A, J, 2005-10-31, 1,1, 16, 22.7
2238655,A, J, 2005-10-31, 1,6, 177, 21.8
2238655,A, J, 2005-10-31, 1,7, 214, 20.4
2238655,A, J, 2005-10-31, 1,8, 249, 18.2
2238655,A, J, 2005-10-31, 1,9, 291, 19.1 
2238655,A, J, 2005-10-31, 1,2, 48, 29.1
2238655,A, J, 2005-10-31, 1,3, 79, 25.9
2238658,A, J, 2006-02-16, 1,10,,
2238658,A, J, 2006-02-16, 1,4, 106, 28.1
2238658,A, J, 2006-02-16, 1,5, 141, 19.1
2238658,A, J, 2006-02-16, 1,6, 183, 20.4
2238658,A, J, 2006-02-16, 1,7, 216, 18.6
2238658,A, J, 2006-02-16, 1,8, 253, 15.9
2238658,A, J, 2006-02-16, 1,9, 287, 16.3 
2238658,A, J, 2006-02-16, 1,2, 34, 24.5
2238658,A, J, 2006-02-16, 1,3, 69, 22.2
2238658,A, J, 2006-02-16, 1,1, 7, 19.1
2238662,A, J, 2005-11-09, 1,10,,
2238662,A, J, 2005-11-09, 1,4, 106, 24.5
2238662,A, J, 2005-11-09, 1,5, 133, 22.7
2238662,A, J, 2005-11-09, 1,6, 168, 21.3
2238662,A, J, 2005-11-09, 1,7, 205, 23.2
2238662,A, J, 2005-11-09, 1,8, 240, 22.2
2238662,A, J, 2005-11-09, 1,9, 282, 23.2 
