lactkey,Farm,Breed,CalveDate,CalveMonth,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
2141719,L, H, 2007-08-30,8, 1, 36.3, 32.4, -0.5, -0.0001, 9, 2, 10606, 0, 18.45, 27, 26.3, 62, 34.5, 90, 35, 111, 37.2, 153, 33.1, 182, 35.9, 210, 35.4, 244, 40.4, 272, 38.1 ,,
2141771,M, H, 2005-01-12,1, 5, 44.4, 42.3, 0, 0.0015, 9, 3.1, 9893, 88.9, 36.33, 28, 23.6, 63, 35.9, 91, 37.2, 118, 35.4, 153, 32.7, 182, 35, 210, 35, 259, 31.8, 287, 26.8 ,,
2143840,L, H, 2007-08-31,8, 1, 44, 36.5, -0.5, 0.0007, 9, 3.4, 11320, 110.1, 39.87, 26, 27.7, 61, 35.4, 89, 38.6, 110, 42.2, 152, 39.5, 181, 36.8, 209, 40, 243, 41.8, 271, 30.4 ,,
2143866,L, H, 2007-09-02,9, 1, 38.3, 36.7, -0.5, 0.0007, 9, 4.5, 9756, 107.6, 34.45, 24, 20.4, 59, 25.4, 87, 29.5, 108, 30.9, 150, 34, 179, 32.2, 207, 35.4, 241, 36.8, 269, 32.7 ,,
2143868,L, H, 2007-09-01,9, 1, 38.3, 36.7, -0.5, 0.0011, 9, 3.2, 9203, 92.7, 33.16, 25, 24.1, 60, 25.9, 88, 28.6, 109, 32.2, 151, 33.1, 180, 30.9, 208, 32.2, 242, 32.2, 270, 27.2 ,,
2143869,L, H, 2007-08-27,8, 1, 44, 36.6, -0.5, 0.0004, 9, 2.8, 11794, 128.3, 41.13, 30, 29.5, 65, 34.5, 93, 38.6, 114, 41.3, 156, 39.5, 185, 40, 213, 39.5, 247, 43.1, 275, 41.8 ,,
2143874,L, H, 2007-09-01,9, 1, 44, 36.6, -0.5, 0.0005, 9, 2.7, 11605, 120.3, 40.61, 25, 27.7, 60, 34, 88, 37.7, 109, 39.5, 151, 40, 180, 40.9, 208, 36.8, 242, 40, 270, 40 ,,
2143884,L, H, 2007-08-28,8, 1, 44, 36.6, -0.5, 0.0002, 9, 3, 12194, 154.5, 42.37, 29, 31.8, 64, 33.6, 92, 37.7, 113, 41.3, 155, 42.2, 184, 41.3, 212, 46.8, 246, 41.3, 274, 41.8 ,,
2143886,L, H, 2007-08-29,8, 1, 38.3, 36.6, -0.5, 0.0003, 9, 6.1, 10358, 134.3, 36.07, 28, 16.8, 63, 29.1, 91, 34, 112, 37.7, 154, 41.3, 183, 40.9, 211, 33.1, 245, 40, 273, 26.8 ,,
2143890,L, H, 2007-08-25,8, 1, 37.8, 33.2, -0.5, 0.001, 9, 2.9, 9319, 90.8, 33.43, 32, 27.7, 67, 28.1, 95, 35.4, 116, 38.1, 158, 34.5, 187, 31.3, 215, 26.8, 249, 30.4, 277, 27.7 ,,
